step,loss,mean_score,median_score,std_score,max_score,min_score
1000,-1.0,1.2,0.5,1.47,4.0,0.0
2000,-1.0,0.9,0.5,1.04,3.0,0.0
3000,-1.0,1.4,1.0,1.2,4.0,0.0
4000,-1.0,1.2,0.5,1.33,3.0,0.0
5000,-1.0,1.5,1.5,1.28,4.0,0.0
6000,-1.0,0.6,0.0,1.2,4.0,0.0
7000,-1.0,1.9,1.5,1.58,5.0,0.0
8000,-1.0,0.9,0.0,1.58,5.0,0.0
9000,-1.0,0.8,0.5,0.98,3.0,0.0
10000,-1.0,1.7,1.0,1.85,5.0,0.0
11000,-1.0,0.9,0.0,1.37,4.0,0.0
12000,-1.0,0.6,0.0,0.8,2.0,0.0
13000,-1.0,0.9,0.0,1.51,5.0,0.0
14000,-1.0,0.6,0.0,1.2,3.0,0.0
15000,-1.0,1.0,0.0,1.34,4.0,0.0
16000,-1.0,1.0,0.0,1.55,5.0,0.0
17000,-1.0,0.8,0.0,1.25,4.0,0.0
18000,-1.0,0.9,0.0,1.37,4.0,0.0
19000,-1.0,1.2,0.0,1.54,4.0,0.0
20000,-1.0,0.8,0.0,1.4,4.0,0.0
21000,-1.0,0.7,0.0,1.0,3.0,0.0
22000,-1.0,1.9,2.0,1.45,4.0,0.0
23000,-1.0,1.3,0.5,1.49,4.0,0.0
24000,-1.0,0.7,0.0,1.42,4.0,0.0
25000,-1.0,1.3,1.0,0.9,3.0,0.0
26000,-1.0,0.1,0.0,0.3,1.0,0.0
27000,-1.0,1.0,0.0,1.55,4.0,0.0
28000,-1.0,0.7,0.5,0.9,3.0,0.0
29000,-1.0,0.5,0.0,0.67,2.0,0.0
30000,-1.0,1.2,1.0,1.33,4.0,0.0
31000,-1.0,0.8,0.0,1.17,3.0,0.0
32000,-1.0,0.4,0.0,0.8,2.0,0.0
33000,-1.0,0.6,0.0,1.2,4.0,0.0
34000,-1.0,0.5,0.0,0.92,3.0,0.0
35000,-1.0,1.4,0.5,1.62,4.0,0.0
36000,-1.0,0.9,0.0,1.37,4.0,0.0
37000,-1.0,1.1,0.0,1.76,5.0,0.0
38000,-1.0,1.7,1.0,1.85,5.0,0.0
39000,-1.0,1.1,0.5,1.3,3.0,0.0
